hospital_id,name,ceo,postal_address,physical_address,contact_number,email,
656,Tonga Hospital,,,"Mzinti Mangweni Road, Tonga Village, Tonga View, 1224",,,
657,Lydenburg Hospital,,,32 Berg Street,,,
658,Matibidi Hospital,,,Graskop Origstad Road,,,
659,Sabie Hospital,,,Hospital Street,,,
660,Carolina Hospital,,,"20 Pearce Street, Carolina",,,
661,Embuleni Hospital,,,"Diepqezet Road, Elukwatini",,,
662,Amajuba Mem Hospital,,,"East Street, Volksrust",,,
663,Elsie Ballot Hospital,,,"Sybrand Van Niekerk Street, Amersfoort",,,
664,Bethal Hospital,,,"Vuyisele Mini, Bethal",,,
665,Evander Hospital,,,"Cnr Bolongna and Lausanne, Evander",,,
666,Mediclinic Highveld Hospital,,,,,,
667,Mediclinic Secunda Hospital,,,Heunis Street,,,
668,Winkelhaak Mine Hospital,,,,,,
669,Standerton Hospital,,,"Kruger Street, Standerton",,,
670,Standerton Spec TB Hospital,,,"Lang Street Ext, Townlands Sakhile",,,
671,Life Piet Retief Hospital,,,6 Mansoor Street,,,
672,Piet Retief Hospital,,,"Pretoria Street, Piet Retief",,,
673,Ermelo Hospitaliplan Hospital,,,,,,
674,Ermelo Hospital,,,"1 Joubert Street, Ermelo",,,
675,Mediclinic Ermelo Hospital,,,25 Mel Mentz Street,,,
676,Sesifuba TB Hospital,,,"Cemetary Road, Ermelo",,,
677,Mmametlhake Hospital,,,"3695 Napier Street, Mmametlhake",,,
678,HA Grove Hospital,,,"103 Bhekumuzi Masango Drive, Belfast, 1100",,,
679,Waterval Boven Hospital,,,"Slaaihoek Road, Waterval Boven",,,
680,Anglo CoalHighveld Hospital,,,"Farm Klipfontein 322 J S, Witbank, Emalahleni, 1034",,,
681,Greenside Hospital,,,,,,
682,Impungwe Hospital,,,"Bethal Street, Emalahleni",,,
683,Life Cosmos Hospital,,,Cnr OR Tambo and Beatty Avenue,,,
684,NHN eMalahleni Day Hospital,,,37 Mandela Street,,,
685,NHN eMalahleni Prv Hospital,,,39 Mandela Street,,,
686,NHN Highveld Eye Hospital,,,,,,
687,Witbank Hospital,,,Mandela Street,,,
688,Witbank Special TB Hospital,,,Moses Kotane Street,,,
689,Arnot Colliery Mine Hospital,,,,,,
690,Douglas Colliery Mine Hospital,,,,,,
691,Koornfontein Mine Hospital,,,,,,
692,Life Midmed Hospital,,,Cnr OR Tambo and Joubert Street,,,
693,Middelburg Hospital,,,Walter Sisulu Hospital Street,,,
694,Middelburg Mine Hospital,,,,,,
695,Optimum Mine Hospital,,,,,,
696,KwaMhlanga Hospital,,,Solomon Mahlangu Drive,,,
697,B Samuels Hospital,,,Hospital Street,,,
698,Prof ZK Matthews Hospital,,,,,,
699,Hartswater Hospital,,,"1 Hospital Street, Hartswater",,,
700,Mediclinic Kimberley Hospital,,,177 Du Toitspan Road,,,
701,NHN Lenmed Royal Hospital and Heart Centre,Hector Mackay,,"Cnr Welgevonden Street and Jacobus Smit Avenue, Royldene, Kimberley",,,
702,RM Sobukwe Hospital,,,"Du Toitspan Road, Kimberley, 8300",,,
703,West End Spec Psych Hospital,,,,,,
704,West End Spec TB Hospital,,,121 Green Street,,,
705,NHN Lenmed Kathu Hospital,Phil Rhyneveldt,,"Frikkie Meyer Street, Kathu, 8446",,,
706,Kuruman Hospital,,,Hoof Street,,,
707,Tshwaragano Hospital,,,"Main Tsineng Road, Batlhoras",,,
708,Calvinia Hospital,,,"Lang Street, Concordia",,,
709,Aggeneys (Black Mountain) Prv Hospital,,,,,,
710,Kleinsee Private Hospital,,,,,,
711,Springbok Hospital,,,"Hospital Street, Springbok, 8240",,,
712,De Aar Hospital,,,Visser Street,,,
713,Prieska Hospital,,,Coetzee Street,,,
714,Orania Hospital,,,,,,
715,Manne Dipico Hospital,,,"Stasie Road, Colesburg",,,
716,Harry Surtie Hospital,,,Shroder Street,,,
717,Mediclinic Upington Hospital,,,Cnr 4th Avenue and du Toit Street,,,
718,Upington TB Hospital,,,,,,
719,Upington TB Hospital (Paeds),,,,,,
720,Kakamas Hospital,,,Hofmeter Road 1a,,,
721,Lime Acres Hospital,,,,,,
722,Postmasburg Hospital,,,"17 West End Street, Postmasburg",,,
723,Koster Hospital,,,Noord Street,,,
724,Brits Hospital,,,714 Crocodile Street,,,
725,Mediclinic Brits Hospital,,,8 Church Street,,,
726,M Kotane Hospital,,,"Stand 00004, Lekwadi Section",,,
727,A Saffey Mine Hospital,,,,,,
728,Impala Mine Hospital,,,,,,
729,JS Tabane Hospital,,,Cnr Hester and Bosch Street,,,
730,Life La Femme Clinic Hospital,,,Cnr Kerk and Heystek Streets,,,
731,Life Peglerae Hospital,,,173 Beyers Naude Drive,,,
732,Netcare Ferncrest Hospital,,,Moumo Street,,,
733,NHN Medi-Care Rustenburg Hospital,,,,,,
734,RPM Mine Hospital,,,,,,
735,Duff Scott Hospital,,,"Mines Road, Stilfontein",,,
736,Klerksdorp-Tshepong Hospital,,,"OR Tambo and John Orr Street, Uraniaville, Klerksdorp, 2574",,,
737,Life Anncron Clinic Hospital,,,Cnr Dr Yusuf Dadoo Avenue and Hartley Street,,,
738,NHN Parkmed Neuro Hospital,,,President Kruger Street,,,
739,NHN Sunningdale Hospital,,,12 Van Ryneveld Street,,,
740,NHN Wilmed Park Hospital,,,Phillip Gerber Crescent,,,
741,West Vaal Hospital,,,,,,
742,Mediclinic Potch Hospital,,,66 Meyer Street,,,
743,NHN Medi-Care Potch Hospital,,,Kruis Street,,,
744,Potchefstroom Hospital,,,Cnr Chris Hani and Kruis Streets,,,
745,Witrand Psych Hospital,,,Deppe Street,,,
746,Nic Bodenstein Hospital,,,Cnr Van Riebeck and Van Rensburg Streets,,,
747,Taung Hospital,,,"Stand 2936, Magistrate Road, Taung, 8584",,,
748,Ganyesa Hospital,,,Tosca Road,,,
749,Christiana Hospital,,,1 Pretorius Street,,,
750,Schweizer-Ren Hospital,,,"1 Hospital Street, Schweizer Reneke",,,
751,J Morolong Mem Hospital,,,South Street,,,
752,NHN Vryburg Prv Hospital,,,Molopo Street,,,
753,Genl de la Rey Hospital,,,19 Thabo Mbeki Drive,,,
754,Thusong Hospital,,,"Next to R503, Sheila, Itsoseng",,,
755,Bophelong Psych Hospital,,,Danvilla Lommananeng Road,,,
756,Clinix Victoria Prv Hospital,,,,,,
757,Gelukspan Hospital,,,,,,
758,Mahikeng Prov Hospital,,,"Lichtenburg Road, Danville",,,
759,Lehurutshe Hospital,,,Lucas Manope Highway,,,
760,Zeerust Hospital,,,Hooge Street,,,
761,Brewelskloof TB Hospital,,,Harlem Street,,,
762,Mediclinic Worcester Hospital,,,67 Fairbairn Street,,,
763,Pines Clinic Hospital,,,,,,
764,Regina Centre,,,,,,
765,Worcester Hospitalice,,,,,,
766,Worcester Hospital,,,"Murray Street, Worcester, 6850",,,
767,Drakenstein Hospital,,,,,,
768,Mediclinic Paarl Hospital,,,Berlyn Street,,,
769,Noncedo Hospitalice,,,,,,
770,Paarl Hospitalice,,,,,,
771,Paarl Hospital,,,"Hospital Street, Paarl",,,
772,Montagu Hospital,,,Hospital Street and Church Street,,,
773,Robertson Hospital,,,"Van Oudtshoorn Street, Robertson",,,
774,Mediclinic Stellenbosch Hospital,,,Cnr Saffraan and Rokewood Avenue,,,
775,Stellenbosch Hospital,,,"Merriman Avenue, Stellenbosch",,,
776,Ceres Hospital,,,"Riverside Street, Ceres",,,
777,Netcare Ceres Hospital,,,,,,
778,B West Hospital,,,Voortrekker Street,,,
779,Murraysburg Hospital,,,"Leeb Street, Murraysburg, 6995",,,
780,Laingsburg Hospital,,,"Voortrekker Street, Laingsburg, 6900",,,
781,P Albert Hospital,,,1 Lowal Market,,,
782,Busamed Paardevlei Prv Hospital,Christelle De Jager,,"4 Gardner Williams Avenue, Paardevlei Estate, Somerset West, Cape Town 7130",,,
783,Eerste River Hospital,,,1 Humbolt Avenue / Perm Gardens,,,
784,E River Medi-City Clinic,,,,,,
785,Helderberg Hospital,,,Lourensford Road,,,
786,Mediclinic Strand Hospital,,,Altena Road,,,
787,Mediclinic Vergelegen Hospital,,,"Main Road, Somerset West, Cape Town, 7130",,,
788,Netcare Kuils River Hospital,,,,,,
789,NHN Life Path Helderberg Hospital,,,2 Fijnbose Close,,,
790,NHN Spescare Sub-Acute Hospital,,,2 Fijnbos Close Altena Road,,,
791,Mediclinic Cape Gate Hospital,,,Cnr Okavango and Tanner Roads,,,
792,Mediclinic Durbanville Hospital,,,45 Wellington Road,,,
793,Mediclinic Panorama Hospital,,,Rothschild Boulevard,,,
794,Monte Vista Hospital,,,,,,
795,NHN Icare Tyger Valley SA Hospital,,,"43 Old Oak Road, Tyger Valley, Bellville",,,
796,NHN M-Care Cape View Hospital,,,Neels Bothma Street,,,
797,DP Marais TB Hospital,,,"Cnr Main and White Road, Retreat",,,
798,False Bay Hospital,,,17th Avenue,,,
799,Kenilworth Hospital,,,,,,
800,Life Claremont Hospital,,,245 Main Road,,,
801,Life Kingsbury Hospital,,,Wilderness Road,,,
802,Life Sports Science Ortho,,,Mariendahl Terrace,,,
803,Mediclinic Constantiaberg Hospital,,,"Burnham Road, Plumstead, Cape Town, 7800",,,
804,Mediclinic Const Neonatal Hospital,,,,,,
805,Melomed Tokai Priv Hospitalital,Samantha Brinkmann,,"Cnr of Keysers and Main Road, Tokai, 7945",,,
806,Mowbray Mat Hospital,,,"12 Hornsey Road, Mowbray",,,
807,Netcare Southern Cross Hospital,,,,,,
808,Newlands Surg Hospital,,,,,,
809,NHN M-Care Newlands Hospital,,,Boundary Road,,,
810,Pr Alice Ortho Hospital,,,Anzio Road,,,
811,Red Cross Children's Hospital,,,"Klipfontein Road, Rondebosch, Cape Town, 7700",,,
812,Red Cross Level 2 Hospital,,,,,,
813,SAMHS 2 Mil Hospital,,,Van Arckel Street,,,
814,Victoria Hospital,,,"Alphen Road, Wynberg",,,
815,Alexandra Hospital,,,Annex Road,,,
816,Brooklyn Chest Hospital,,,"Stanberry Street, Ysterplaat, 7425",,,
817,Conradie Hospital,,,,,,
818,Groote Schuur Hospital,,,Groote Schuur Drive,,,
819,GSH Level 2 Hospital,,,,,,
820,Life Orthopaedic Hospital,,,Alexandra Road,,,
821,Life Vincent Pallotti Hospital,,,Alexandra Road,,,
822,Mediclinic Cape Town Hospital,,,21 Hof Street,,,
823,Mediclinic Milnerton Hospital,,,Cnr Racecourse and Koeberg Road,,,
824,Netcare Blaauwberg Hospital,,,Waterville Crescent,,,
825,Netcare C Barnard Hospital,,,181 Longmarket Street,,,
826,Netcare UCT Prv Hospital,,,Anzio Road,,,
827,New Somerset Hospital,,,"Portswood Road, Greenpoint",,,
828,NHN Icare Century City DH,,,Building 5 Century City,,,
829,Shirnell Clinic Hospital,,,,,,
830,St Monica's Hospital,,,,,,
831,Valkenberg Hospital,,,Oservatory Road,,,
832,Wesfleur Clinic Hospital,,,,,,
833,Wesfleur Hospital,,,"Wesfleur Circle, Atlantis, Cape Town, 7349",,,
834,Khayelitsha Hospital,,,"Francie V Zyl Drive, Parow",,,
835,Gatesv Med Centre Hospital,,,,,,
836,GF Jooste Hospital,,,"Duinefontein Road, Manenberg, Cape Town, 7767",,,
837,Melomed Gatesville Hospital,,,,,,
838,Lentegeur Hospital,,,"Highlands Drive, Mitchells Plain",,,
839,Melomed Mitchells Plain Hospital,,,,,,
840,Mitchells Plain Hospital,,,Highlands Drive,,,
841,M Plain Med Centre Hospital,,,,,,
842,M Plain Hospital,,,,,,
843,Aevitas Hospital,,,,,,
844,Bellville Med Hospital,,,,,,
845,Cape Eye Hospital,,,Oosterzee Street,,,
846,K Bremer Hospital,,,"Frans Conradie Drive, Bellville West, Cape Town",,,
847,Libertas Hospital,,,,,,
848,Mediclinic Louis Leipoldt Hospital,,,Broadway Road,,,
849,Melomed Bellville Hospital,,,,,,
850,Netcare N1 City Hospital,,,Louwtjie Rothman Street,,,
851,Origin Maternity Hospital,,,,,,
852,Stikland Hospital,,,De La Haye Avenue,,,
853,Tygerberg Hospital,,,"Francie van Zyl Drive, Parow",,,
854,Tygerberg Level 2 Hospital,,,,,,
855,Mediclinic Plett Bay Hospital,,,Muller Street,,,
856,George Hospital,,,"Davidson Road, George",,,
857,H Comay TB Hospital,,,Sandkraal Road,,,
858,Mediclinic Geneva Hospital,,,7 Varing Avenue,,,
859,Mediclinic George Hospital,,,"Cnr York Street and Gloucester Avenue, George",,,
860,Uniondale Hospital,,,Hospital Street,,,
861,Riversdale Hospital,,,Hospital Street,,,
862,Alan Blyth Hospital,,,"Upper Church Street, Ladismith",,,
863,Knysna Hospital,,,"Main Road, Knysna, 6571",,,
864,Life Knysna Pvt Hospital,,,Hunters Estate Drive,,,
865,Meyer Zall Hospital,,,,,,
866,Life Bay View Pvt Hospital,,,Cnr Alhof and Ryk Tulbach Streets,,,
867,Mossel Bay Hospital,,,21st Avenue,,,
868,Cango Hospital,,,,,,
869,Mediclinic K Karoo Hospital,,,185 Church Street,,,
870,NHN Kango Clinic,,,131 St John Street,,,
871,Oudtshoorn Hospital,,,"Park Road, Oudtshoorn",,,
872,Otto Du Plessis Hospital,,,"Dorpsig Street, Bredasdorp",,,
873,Hermanus Hospital,,,Hospital Street,,,
874,Mediclinic Hermanus Hospital,,,Hospital Street,,,
875,Swellendam Hospital,,,"18 Drosdy Street, Swellendam, 6740",,,
876,Caledon Hospital,,,Cnr N2 Highway Turn Off Caledon,,,
877,LAPA Munnik Hospital,,,6 Voortrekker Street,,,
878,Radie Kotze Hospital,,,"Hoof Street, Piketberg, 7320",,,
879,Citrusdal Hospital,,,"Vrede Street, Citrusdal",,,
880,Clanwilliam Hospital,,,"Old Cape Road, Clanwilliam",,,
881,Vredendal Hospital,,,"Van Der Stel Street, Vredendal, 8160",,,
882,Life West Coast Prv Hospital,,,22 Voortrekker Road,,,
883,Vredenburg Hospital,,,"Voortrekker Street, Vredenburg",,,
884,Die Wieg Hospital,,,,,,
885,Malmesbury Inf Hospital,,,"Schoonspruit Road, Malmesbury, 7299",,,
886,Sonstraal TB Hospital,,,"Meaker Street, Paarl",,,
887,Swartland Hospital,,,"PG Nelson Street, Malmesbury",,,
